contig_id,original_header,spades_node,length_bp,kmer_coverage,gc_percent,n_count
S1A_contig_001,NODE_1_length_651111_cov_21.2328,1,651111,21.2328,46.35,0
S1A_contig_002,NODE_2_length_348315_cov_20.0655,2,348315,20.0655,46.01,0
S1A_contig_003,NODE_3_length_253438_cov_20.321,3,253438,20.321,46.87,0
S1A_contig_004,NODE_4_length_251367_cov_18.4489,4,251367,18.4489,46.57,0
S1A_contig_005,NODE_5_length_218690_cov_18.114,5,218690,18.114,47.3,0
S1A_contig_006,NODE_6_length_188469_cov_16.5648,6,188469,16.5648,45.42,0
S1A_contig_007,NODE_7_length_164395_cov_16.8412,7,164395,16.8412,46.15,0
S1A_contig_008,NODE_8_length_151245_cov_19.2673,8,151245,19.2673,46.32,0
S1A_contig_009,NODE_9_length_113070_cov_17.2243,9,113070,17.2243,46.39,0
S1A_contig_010,NODE_10_length_82732_cov_14.1198,10,82732,14.1198,44.44,0
S1A_contig_011,NODE_11_length_78325_cov_25.0201,11,78325,25.0201,42.74,0
S1A_contig_012,NODE_12_length_72487_cov_15.047,12,72487,15.047,45.61,0
S1A_contig_013,NODE_13_length_64880_cov_17.5322,13,64880,17.5322,46.18,0
S1A_contig_014,NODE_14_length_60695_cov_19.8604,14,60695,19.8604,46.87,0
S1A_contig_015,NODE_15_length_50605_cov_23.6208,15,50605,23.6208,47.34,0
S1A_contig_016,NODE_16_length_46312_cov_17.4735,16,46312,17.4735,46.89,0
S1A_contig_017,NODE_17_length_46245_cov_17.6385,17,46245,17.6385,46.58,0
S1A_contig_018,NODE_18_length_42545_cov_20.1183,18,42545,20.1183,45.5,0
S1A_contig_019,NODE_19_length_41435_cov_17.5127,19,41435,17.5127,46.82,0
S1A_contig_020,NODE_20_length_23208_cov_20.2955,20,23208,20.2955,48.46,0
S1A_contig_021,NODE_21_length_21906_cov_12.4273,21,21906,12.4273,41.22,0
S1A_contig_022,NODE_22_length_19711_cov_41.5905,22,19711,41.5905,40.62,0
S1A_contig_023,NODE_23_length_19325_cov_27.7696,23,19325,27.7696,39.63,0
S1A_contig_024,NODE_24_length_14048_cov_16.6088,24,14048,16.6088,45.24,0
S1A_contig_025,NODE_25_length_9336_cov_33.9308,25,9336,33.9308,42.12,0
S1A_contig_026,NODE_26_length_3048_cov_107.406,26,3048,107.406,51.44,0
S1A_contig_027,NODE_27_length_2976_cov_42.6226,27,2976,42.6226,40.19,0
S1A_contig_028,NODE_28_length_2844_cov_116.517,28,2844,116.517,46.69,0
S1A_contig_029,NODE_29_length_2556_cov_20.7629,29,2556,20.7629,45.81,0
S1A_contig_030,NODE_30_length_2240_cov_16.2697,30,2240,16.2697,41.96,0
S1A_contig_031,NODE_31_length_1760_cov_110.238,31,1760,110.238,51.42,0
S1A_contig_032,NODE_32_length_1174_cov_11.8454,32,1174,11.8454,44.97,0
S1A_contig_033,NODE_33_length_837_cov_236.106,33,837,236.106,48.27,0
S1A_contig_034,NODE_34_length_825_cov_53.5494,34,825,53.5494,48.97,0
S1A_contig_035,NODE_35_length_665_cov_66.5918,35,665,66.5918,44.51,0
S1A_contig_036,NODE_36_length_582_cov_30.2201,36,582,30.2201,45.36,0
S1A_contig_037,NODE_37_length_575_cov_31.2058,37,575,31.2058,45.39,0
S1A_contig_038,NODE_38_length_535_cov_115.483,38,535,115.483,48.97,0
S1A_contig_039,NODE_39_length_503_cov_10.1741,39,503,10.1741,45.53,0
S1A_contig_040,NODE_40_length_503_cov_12.2835,40,503,12.2835,44.93,0
S1A_contig_041,NODE_41_length_497_cov_29.5769,41,497,29.5769,43.06,0
S1A_contig_042,NODE_42_length_479_cov_82.8396,42,479,82.8396,36.95,0
S1A_contig_043,NODE_43_length_477_cov_20.1943,43,477,20.1943,44.65,0
S1A_contig_044,NODE_44_length_381_cov_44.6196,44,381,44.6196,45.67,0
S1A_contig_045,NODE_45_length_378_cov_18.1146,45,378,18.1146,47.62,0
S1A_contig_046,NODE_46_length_349_cov_46.1939,46,349,46.1939,47.28,0
S1A_contig_047,NODE_47_length_341_cov_14.7238,47,341,14.7238,48.09,0
S1A_contig_048,NODE_48_length_334_cov_25.1613,48,334,25.1613,45.51,0
S1A_contig_049,NODE_49_length_324_cov_25.513,49,324,25.513,47.22,0
S1A_contig_050,NODE_50_length_277_cov_13.6171,50,277,13.6171,44.77,0
S1A_contig_051,NODE_51_length_270_cov_76.2744,51,270,76.2744,48.15,0
S1A_contig_052,NODE_52_length_255_cov_18.43,52,255,18.43,47.84,0
S1A_contig_053,NODE_53_length_248_cov_30.1295,53,248,30.1295,46.77,0
S1A_contig_054,NODE_54_length_248_cov_22.5337,54,248,22.5337,47.98,0
S1A_contig_055,NODE_55_length_244_cov_27.0635,55,244,27.0635,48.36,0
S1A_contig_056,NODE_56_length_243_cov_15.5691,56,243,15.5691,40.74,0
S1A_contig_057,NODE_57_length_224_cov_13.9882,57,224,13.9882,44.64,0
