contig_id,feature_type,start,end,strand,length_bp,locus_tag,gene,product,protein_id,ec_number,db_xref,inference,cumulative_start,cumulative_end
S1A_contig_001,CDS,247,988,+,741,PROKKA_00001,,ubiquinone/menaquinone biosynthesis methyltransferase,BS:PROKKA_00001,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK00216,247,988
S1A_contig_001,CDS,1148,2696,-,1548,PROKKA_00002,yheS_1,putative ABC transporter ATP-binding protein YheS,BS:PROKKA_00002,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P63389,1148,2696
S1A_contig_001,CDS,3074,4013,+,939,PROKKA_00003,,ADP-ribosylglycohydrolase,BS:PROKKA_00003,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF03747.8,3074,4013
S1A_contig_001,CDS,4090,4690,+,600,PROKKA_00004,sipT,Signal peptidase I T,BS:PROKKA_00004,3.4.21.89,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P71013,4090,4690
S1A_contig_001,CDS,4975,5308,-,333,PROKKA_00005,,hypothetical protein,BS:PROKKA_00005,,,ab initio prediction:Prodigal:2.6,4975,5308
S1A_contig_001,CDS,5416,6160,-,744,PROKKA_00006,,hypothetical protein,BS:PROKKA_00006,,,ab initio prediction:Prodigal:2.6,5416,6160
S1A_contig_001,CDS,6178,6961,-,783,PROKKA_00007,epsH_1,Putative glycosyltransferase EpsH,BS:PROKKA_00007,2.4.-.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P71057,6178,6961
S1A_contig_001,CDS,7045,7804,-,759,PROKKA_00008,glcR_1,HTH-type transcriptional repressor GlcR,BS:PROKKA_00008,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P94591,7045,7804
S1A_contig_001,CDS,8248,8935,+,687,PROKKA_00009,,hypothetical protein,BS:PROKKA_00009,,,ab initio prediction:Prodigal:2.6,8248,8935
S1A_contig_001,CDS,9677,11057,+,1380,PROKKA_00010,brnQ_1,Branched-chain amino acid transport system 2 carrier protein,BS:PROKKA_00010,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P0AD99,9677,11057
S1A_contig_001,CDS,11207,12302,-,1095,PROKKA_00011,brpA_1,Biofilm regulatory protein A precursor,BS:PROKKA_00011,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q8DVR0,11207,12302
S1A_contig_001,CDS,12430,14230,+,1800,PROKKA_00012,pepF1_1,"Oligoendopeptidase F, plasmid",BS:PROKKA_00012,3.4.24.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P54124,12430,14230
S1A_contig_001,CDS,14226,15108,+,882,PROKKA_00013,garR_1,2-hydroxy-3-oxopropionate reductase,BS:PROKKA_00013,1.1.1.60,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P0ABQ2,14226,15108
S1A_contig_001,CDS,15104,15953,+,849,PROKKA_00014,,phosphodiesterase,BS:PROKKA_00014,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK09453,15104,15953
S1A_contig_001,CDS,16024,16822,-,798,PROKKA_00015,znuB,High-affinity zinc uptake system membrane protein ZnuB,BS:PROKKA_00015,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P39832,16024,16822
S1A_contig_001,CDS,16818,17538,-,720,PROKKA_00016,znuC_1,Zinc import ATP-binding protein ZnuC,BS:PROKKA_00016,3.6.3.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q8ZNV7,16818,17538
S1A_contig_001,CDS,17611,17956,-,345,PROKKA_00017,,hypothetical protein,BS:PROKKA_00017,,,ab initio prediction:Prodigal:2.6,17611,17956
S1A_contig_001,CDS,18204,19557,-,1353,PROKKA_00018,gntT,High-affinity gluconate transporter,BS:PROKKA_00018,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P39835,18204,19557
S1A_contig_001,CDS,19741,21310,-,1569,PROKKA_00019,xylB_1,Xylulose kinase,BS:PROKKA_00019,2.7.1.17,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P35850,19741,21310
S1A_contig_001,CDS,21379,22285,-,906,PROKKA_00020,gndA,"6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating",BS:PROKKA_00020,1.1.1.44,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P80859,21379,22285
S1A_contig_001,CDS,22587,23430,+,843,PROKKA_00021,murR_1,HTH-type transcriptional regulator MurR,BS:PROKKA_00021,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P77245,22587,23430
S1A_contig_001,CDS,23646,24036,-,390,PROKKA_00022,,Tautomerase enzyme,BS:PROKKA_00022,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF01361.1,23646,24036
S1A_contig_001,CDS,24073,24946,-,873,PROKKA_00023,iolJ_1,6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase,BS:PROKKA_00023,4.1.2.29,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P42420,24073,24946
S1A_contig_001,CDS,24968,25865,-,897,PROKKA_00024,iolE,Inosose dehydratase,BS:PROKKA_00024,4.2.1.44,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q88S37,24968,25865
S1A_contig_001,CDS,25866,26919,-,1053,PROKKA_00025,idhA,Inositol 2-dehydrogenase,BS:PROKKA_00025,1.1.1.18,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O68965,25866,26919
S1A_contig_001,CDS,26956,27997,-,1041,PROKKA_00026,iolG,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,BS:PROKKA_00026,1.1.1.18,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P26935,26956,27997
