contig_id,window_start,window_end,gc_percent,gc_deviation,cumulative_start,cumulative_end
S1A_contig_001,0,5000,45.86,-0.2601,0,5000
S1A_contig_001,5000,10000,46.32,0.1999,5000,10000
S1A_contig_001,10000,15000,46.82,0.6999,10000,15000
S1A_contig_001,15000,20000,46.76,0.6399,15000,20000
S1A_contig_001,20000,25000,46.6,0.4799,20000,25000
S1A_contig_001,25000,30000,44.84,-1.2801,25000,30000
S1A_contig_001,30000,35000,43.7,-2.4201,30000,35000
S1A_contig_001,35000,40000,43.58,-2.5401,35000,40000
S1A_contig_001,40000,45000,46.2,0.0799,40000,45000
S1A_contig_001,45000,50000,47.3,1.1799,45000,50000
S1A_contig_001,50000,55000,46.74,0.6199,50000,55000
S1A_contig_001,55000,60000,47.08,0.9599,55000,60000
S1A_contig_001,60000,65000,46.78,0.6599,60000,65000
S1A_contig_001,65000,70000,48.22,2.0999,65000,70000
S1A_contig_001,70000,75000,44.64,-1.4801,70000,75000
S1A_contig_001,75000,80000,45.3,-0.8201,75000,80000
S1A_contig_001,80000,85000,46.58,0.4599,80000,85000
S1A_contig_001,85000,90000,46.92,0.7999,85000,90000
S1A_contig_001,90000,95000,47.32,1.1999,90000,95000
S1A_contig_001,95000,100000,44.62,-1.5001,95000,100000
S1A_contig_001,100000,105000,46.62,0.4999,100000,105000
S1A_contig_001,105000,110000,49.86,3.7399,105000,110000
S1A_contig_001,110000,115000,47.92,1.7999,110000,115000
S1A_contig_001,115000,120000,44.96,-1.1601,115000,120000
S1A_contig_001,120000,125000,42.04,-4.0801,120000,125000
S1A_contig_001,125000,130000,48.54,2.4199,125000,130000
S1A_contig_001,130000,135000,50.32,4.1999,130000,135000
S1A_contig_001,135000,140000,47.48,1.3599,135000,140000
S1A_contig_001,140000,145000,49.38,3.2599,140000,145000
S1A_contig_001,145000,150000,45.32,-0.8001,145000,150000
S1A_contig_001,150000,155000,47.34,1.2199,150000,155000
S1A_contig_001,155000,160000,51.82,5.6999,155000,160000
S1A_contig_001,160000,165000,44.36,-1.7601,160000,165000
