locus_id,contig_id,start,end,strand,locus_tag,gene,product,length_aa,role_predicted,role_curated,evidence,include_in_figure
BGC_01,S1A_contig_001,109319,110252,-,PROKKA_00110,,galactitol-1-phosphate dehydrogenase,310,other,,,
BGC_01,S1A_contig_001,110362,110869,+,PROKKA_00111,,hypothetical protein,168,unknown,,,
BGC_01,S1A_contig_001,111030,111327,+,PROKKA_00112,,hypothetical protein,98,unknown,,,
BGC_01,S1A_contig_001,111409,112411,-,PROKKA_00113,,D-2-hydroxyisocaproate dehydrogenase,333,other,,,
BGC_01,S1A_contig_001,112477,112969,-,PROKKA_00114,adaB,"Methylated-DNA--protein-cysteine methyltransferase, inducible",163,other,,,
BGC_01,S1A_contig_001,113142,114216,+,PROKKA_00115,ddl,D-alanine--D-alanine ligase,357,other,,,
BGC_01,S1A_contig_001,114369,114621,-,PROKKA_00116,,hypothetical protein,83,unknown,,,
BGC_01,S1A_contig_001,114842,115919,+,PROKKA_00117,mccF,Microcin C7 self-immunity protein MccF,358,immunity,,,
BGC_01,S1A_contig_001,116136,117117,+,PROKKA_00118,,PAP2 superfamily protein,326,other,,,
BGC_01,S1A_contig_001,117306,117591,+,PROKKA_00119,,hypothetical protein,94,unknown,,,
BGC_01,S1A_contig_001,117583,117694,+,PROKKA_00120,,hypothetical protein,36,unknown,,,
BGC_01,S1A_contig_001,117739,117862,+,PROKKA_00121,,hypothetical protein,40,unknown,,,
BGC_01,S1A_contig_001,118549,119911,+,PROKKA_00122,,6-hydroxy-D-nicotine oxidase,453,other,,,
BGC_01,S1A_contig_001,120144,120909,-,PROKKA_00123,,phosphodiesterase,254,other,,,
BGC_02,S1A_contig_001,171936,172731,+,PROKKA_00168,trpA,Tryptophan synthase alpha chain,264,other,,,
BGC_02,S1A_contig_001,173344,174004,-,PROKKA_00169,aadR,Transcriptional activatory protein AadR,219,other,,,
BGC_02,S1A_contig_001,174052,174637,-,PROKKA_00170,,hypothetical protein,194,unknown,,,
BGC_02,S1A_contig_001,174784,175012,-,PROKKA_00171,,zinc/cadmium/mercury/lead-transporting ATPase,75,other,,,
BGC_02,S1A_contig_001,175031,176888,-,PROKKA_00172,zosA_2,Zinc-transporting ATPase,618,other,,,
BGC_02,S1A_contig_001,177232,177454,+,PROKKA_00173,,hypothetical protein,73,unknown,,,
