contig_id,start,end,strand,locus_tag,gene,product,tf_family,evidence_tier,pfam_domains,pfam_all,uniprot_hit,in_bacteriocin_locus,locus_id
S1A_contig_001,7045,7804,-,PROKKA_00008,glcR_1,HTH-type transcriptional repressor GlcR,DeoR,homology_domain,PF00455;PF08220,PF00455;PF08220,P94591,,
S1A_contig_001,11207,12302,-,PROKKA_00011,brpA_1,Biofilm regulatory protein A precursor,unassigned family,none,,PF03816,Q8DVR0,,
S1A_contig_001,22587,23430,+,PROKKA_00021,murR_1,HTH-type transcriptional regulator MurR,unassigned family,none,,PF01380;PF01418,P77245,,
S1A_contig_001,35428,36235,+,PROKKA_00032,srlR_1,Glucitol operon repressor,DeoR,homology_domain,PF00455;PF08220,PF00455;PF08220,P15082,,
S1A_contig_001,43033,43720,-,PROKKA_00039,srrA_1,Transcriptional regulatory protein SrrA,OmpR/PhoB response regulator,homology_domain,PF00072;PF00486,PF00072;PF00486,Q9L524,,
S1A_contig_001,71088,71982,-,PROKKA_00074,,Helix-turn-helix domain protein,XRE/Cro-CI,direct_domain,PF12844,PF12844,,,
S1A_contig_001,96141,97602,-,PROKKA_00096,,Mga helix-turn-helix domain protein,Mga/PRD virulence regulator,product_name,,PF05043,,,
S1A_contig_001,127846,128062,-,PROKKA_00130,yxlE,Negative regulatory protein YxlE,unassigned family,none,,PF13396,P94373,,
S1A_contig_001,128128,129250,-,PROKKA_00131,,transcriptional repressor DicA,unassigned family,none,,,,,
S1A_contig_001,129697,130576,-,PROKKA_00132,benM,HTH-type transcriptional regulator BenM,LysR,homology_domain,PF00126;PF03466,PF00126;PF03466,O68014,,
S1A_contig_001,137720,138590,+,PROKKA_00137,ybbH_1,putative HTH-type transcriptional regulator YbbH,unassigned family,none,,PF01380;PF01418,Q45581,,
S1A_contig_001,163640,164219,-,PROKKA_00161,,DNA-binding transcriptional regulator EnvR,unassigned family,none,,,,,
S1A_contig_001,173344,174004,-,PROKKA_00169,aadR,Transcriptional activatory protein AadR,Crp/Fnr,homology_domain,PF00325,PF00027;PF00325,Q01980,,
S1A_contig_001,183009,183612,+,PROKKA_00180,bm3R1_1,HTH-type transcriptional repressor Bm3R1,TetR/AcrR,homology_domain,PF00440,PF00440;PF16295,P43506,,
S1A_contig_001,190973,191873,+,PROKKA_00185,,Helix-turn-helix domain protein,XRE/Cro-CI,direct_domain,PF12844,PF12844,,yes,BGC_03
S1A_contig_001,193076,193769,-,PROKKA_00188,ydfH_1,putative HTH-type transcriptional regulator YdfH,GntR,homology_domain,PF00392;PF07729,PF00392;PF07729,P0ACM2,yes,BGC_03
S1A_contig_001,209745,210384,+,PROKKA_00208,yvdT,putative HTH-type transcriptional regulator YvdT,TetR/AcrR,homology_domain,PF00440,PF00440;PF17934,O07001,,
S1A_contig_001,271163,273221,+,PROKKA_00263,mtlR_1,Transcriptional regulator MtlR,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF08279,PF00359;PF00874;PF02302;PF05043;PF08279,P96574,,
S1A_contig_001,283614,284304,-,PROKKA_00275,dcuR,Transcriptional regulatory protein DcuR,response regulator (receiver only),homology_domain,PF00072,PF00072,P0AD01,,
S1A_contig_001,315673,316549,+,PROKKA_00305,,Helix-turn-helix domain protein,XRE/Cro-CI,direct_domain,PF12844,PF12844,,,
S1A_contig_001,316545,317394,+,PROKKA_00306,,Helix-turn-helix domain protein,XRE/Cro-CI,direct_domain,PF12844,PF12844,,,
S1A_contig_001,317549,318569,-,PROKKA_00307,,Helix-turn-helix domain protein,XRE/Cro-CI,direct_domain,PF12844,PF12844,,,
S1A_contig_001,331600,332311,+,PROKKA_00323,treR_1,Trehalose operon transcriptional repressor,GntR,homology_domain,PF00392,PF00392;PF07702,P39796,,
S1A_contig_001,341228,341942,+,PROKKA_00331,yycF_1,Transcriptional regulatory protein YycF,OmpR/PhoB response regulator,homology_domain,PF00072;PF00486,PF00072;PF00486,P37478,,
S1A_contig_001,345339,346137,+,PROKKA_00334,yycI,Two-component system YycFG regulatory protein,unassigned family,none,,PF09648,Q45612,,
S1A_contig_001,374665,375598,+,PROKKA_00364,murR_2,HTH-type transcriptional regulator MurR,unassigned family,none,,PF01380;PF01418,P77245,,
S1A_contig_001,396321,396879,+,PROKKA_00381,xre,HTH-type transcriptional regulator Xre,XRE/Cro-CI,homology_domain,PF01381,PF01381,P23789,,
S1A_contig_001,401184,401757,-,PROKKA_00388,,Transcriptional regulator PadR-like family protein,PadR,direct_domain,PF03551,PF03551,,,
S1A_contig_001,407109,407829,+,PROKKA_00393,gmuR_1,HTH-type transcriptional regulator GmuR,GntR,homology_domain,PF00392,PF00392;PF07702,O05509,,
S1A_contig_001,414073,414835,-,PROKKA_00398,srlR_2,Glucitol operon repressor,DeoR,homology_domain,PF00455;PF08220,PF00455;PF08220,P15082,,
S1A_contig_001,427108,427882,+,PROKKA_00413,srlR_3,Glucitol operon repressor,DeoR,homology_domain,PF00455;PF08220,PF00455;PF08220,P15082,,
S1A_contig_001,431863,433732,+,PROKKA_00418,licR_1,putative licABCH operon regulator,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF08279,PF00359;PF00874;PF05043;PF08279,P46321,,
S1A_contig_001,433732,434242,+,PROKKA_00419,,DNA-binding transcriptional activator GutM,unassigned family,none,,,,,
S1A_contig_001,438869,439337,-,PROKKA_00426,,helix-turn-helix protein,XRE/Cro-CI,direct_domain,PF01381,PF01381,,,
S1A_contig_001,439861,441733,+,PROKKA_00427,mtlR_2,Transcriptional regulator MtlR,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF08279,PF00359;PF00874;PF02302;PF05043;PF08279,P96574,,
S1A_contig_001,447802,449872,-,PROKKA_00436,licR_2,putative licABCH operon regulator,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF08279,PF00359;PF00874;PF05043;PF08279,P46321,,
S1A_contig_001,454849,456577,-,PROKKA_00443,zraR,Transcriptional regulatory protein ZraR,response regulator (receiver only),homology_domain,PF00072,PF00072;PF00158;PF02954;PF25601,P14375,,
S1A_contig_001,460244,462350,+,PROKKA_00447,mtlR_3,Transcriptional regulator MtlR,PRD antiterminator (BglG/MtlR),homology_domain,PF00874;PF08279,PF00359;PF00874;PF02302;PF05043;PF08279,P96574,,
