contig_id,window_start,window_end,gc_skew,cumulative_gc_skew,cumulative_start,cumulative_end
S1A_contig_001,0,5000,-0.052769,-0.0528,0,5000
S1A_contig_001,5000,10000,-0.03886,-0.0916,5000,10000
S1A_contig_001,10000,15000,-0.038018,-0.1296,10000,15000
S1A_contig_001,15000,20000,-0.086399,-0.216,15000,20000
S1A_contig_001,20000,25000,-0.11073,-0.3268,20000,25000
S1A_contig_001,25000,30000,-0.110616,-0.4374,25000,30000
S1A_contig_001,30000,35000,-0.122197,-0.5596,30000,35000
S1A_contig_001,35000,40000,-0.062873,-0.6225,35000,40000
S1A_contig_001,40000,45000,-0.105628,-0.7281,40000,45000
S1A_contig_001,45000,50000,-0.106131,-0.8342,45000,50000
S1A_contig_001,50000,55000,-0.05092,-0.8851,50000,55000
S1A_contig_001,55000,60000,-0.11045,-0.9956,55000,60000
S1A_contig_001,60000,65000,-0.103035,-1.0986,60000,65000
S1A_contig_001,65000,70000,-0.104936,-1.2036,65000,70000
S1A_contig_001,70000,75000,-0.06362,-1.2672,70000,75000
S1A_contig_001,75000,80000,-0.119647,-1.3868,75000,80000
S1A_contig_001,80000,85000,-0.033061,-1.4199,80000,85000
S1A_contig_001,85000,90000,-0.069054,-1.4889,85000,90000
S1A_contig_001,90000,95000,-0.093829,-1.5828,90000,95000
S1A_contig_001,95000,100000,-0.084715,-1.6675,95000,100000
S1A_contig_001,100000,105000,-0.075933,-1.7434,100000,105000
S1A_contig_001,105000,110000,-0.019655,-1.7631,105000,110000
S1A_contig_001,110000,115000,-0.049249,-1.8123,110000,115000
S1A_contig_001,115000,120000,-0.044484,-1.8568,115000,120000
S1A_contig_001,120000,125000,-0.050428,-1.9072,120000,125000
S1A_contig_001,125000,130000,-0.053152,-1.9604,125000,130000
S1A_contig_001,130000,135000,-0.054849,-2.0152,130000,135000
S1A_contig_001,135000,140000,-0.071609,-2.0868,135000,140000
S1A_contig_001,140000,145000,-0.103281,-2.1901,140000,145000
