contig_id,genbank_locus,order,length_bp,cumulative_start,cumulative_end,gc_percent
S1A_contig_001,PROKKA_contig000001,1,651111,0,651111,46.354
S1A_contig_002,PROKKA_contig000002,2,348315,651111,999426,46.014
S1A_contig_003,PROKKA_contig000003,3,253438,999426,1252864,46.867
S1A_contig_004,PROKKA_contig000004,4,251367,1252864,1504231,46.574
S1A_contig_005,PROKKA_contig000005,5,218690,1504231,1722921,47.303
S1A_contig_006,PROKKA_contig000006,6,188469,1722921,1911390,45.415
S1A_contig_007,PROKKA_contig000007,7,164395,1911390,2075785,46.15
S1A_contig_008,PROKKA_contig000008,8,151245,2075785,2227030,46.32
S1A_contig_009,PROKKA_contig000009,9,113070,2227030,2340100,46.391
S1A_contig_010,PROKKA_contig000010,10,82732,2340100,2422832,44.437
S1A_contig_011,PROKKA_contig000011,11,78325,2422832,2501157,42.737
S1A_contig_012,PROKKA_contig000012,12,72487,2501157,2573644,45.612
S1A_contig_013,PROKKA_contig000013,13,64880,2573644,2638524,46.179
S1A_contig_014,PROKKA_contig000014,14,60695,2638524,2699219,46.872
S1A_contig_015,PROKKA_contig000015,15,50605,2699219,2749824,47.343
S1A_contig_016,PROKKA_contig000016,16,46312,2749824,2796136,46.888
S1A_contig_017,PROKKA_contig000017,17,46245,2796136,2842381,46.576
S1A_contig_018,PROKKA_contig000018,18,42545,2842381,2884926,45.505
S1A_contig_019,PROKKA_contig000019,19,41435,2884926,2926361,46.818
S1A_contig_020,PROKKA_contig000020,20,23208,2926361,2949569,48.457
S1A_contig_021,PROKKA_contig000021,21,21906,2949569,2971475,41.222
S1A_contig_022,PROKKA_contig000022,22,19711,2971475,2991186,40.622
S1A_contig_023,PROKKA_contig000023,23,19325,2991186,3010511,39.633
S1A_contig_024,PROKKA_contig000024,24,14048,3010511,3024559,45.245
S1A_contig_025,PROKKA_contig000025,25,9336,3024559,3033895,42.117
S1A_contig_026,PROKKA_contig000026,26,3048,3033895,3036943,51.444
S1A_contig_027,PROKKA_contig000027,27,2976,3036943,3039919,40.188
S1A_contig_028,PROKKA_contig000028,28,2844,3039919,3042763,46.695
S1A_contig_029,PROKKA_contig000029,29,2556,3042763,3045319,45.814
S1A_contig_030,PROKKA_contig000030,30,2240,3045319,3047559,41.964
S1A_contig_031,PROKKA_contig000031,31,1760,3047559,3049319,51.42
S1A_contig_032,PROKKA_contig000032,32,1174,3049319,3050493,44.974
S1A_contig_033,PROKKA_contig000033,33,837,3050493,3051330,48.268
S1A_contig_034,PROKKA_contig000034,34,825,3051330,3052155,48.97
S1A_contig_035,PROKKA_contig000035,35,665,3052155,3052820,44.511
S1A_contig_036,PROKKA_contig000036,36,582,3052820,3053402,45.361
S1A_contig_037,PROKKA_contig000037,37,575,3053402,3053977,45.391
S1A_contig_038,PROKKA_contig000038,38,535,3053977,3054512,48.972
S1A_contig_039,PROKKA_contig000039,39,503,3054512,3055015,45.527
S1A_contig_040,PROKKA_contig000040,40,503,3055015,3055518,44.93
S1A_contig_041,PROKKA_contig000041,41,497,3055518,3056015,43.058
S1A_contig_042,PROKKA_contig000042,42,479,3056015,3056494,36.952
S1A_contig_043,PROKKA_contig000043,43,477,3056494,3056971,44.654
S1A_contig_044,PROKKA_contig000044,44,381,3056971,3057352,45.669
S1A_contig_045,PROKKA_contig000045,45,378,3057352,3057730,47.619
S1A_contig_046,PROKKA_contig000046,46,349,3057730,3058079,47.278
S1A_contig_047,PROKKA_contig000047,47,341,3058079,3058420,48.094
S1A_contig_048,PROKKA_contig000048,48,334,3058420,3058754,45.509
S1A_contig_049,PROKKA_contig000049,49,324,3058754,3059078,47.222
S1A_contig_050,PROKKA_contig000050,50,277,3059078,3059355,44.765
S1A_contig_051,PROKKA_contig000051,51,270,3059355,3059625,48.148
S1A_contig_052,PROKKA_contig000052,52,255,3059625,3059880,47.843
S1A_contig_053,PROKKA_contig000053,53,248,3059880,3060128,46.774
S1A_contig_054,PROKKA_contig000054,54,248,3060128,3060376,47.984
S1A_contig_055,PROKKA_contig000055,55,244,3060376,3060620,48.361
S1A_contig_056,PROKKA_contig000056,56,243,3060620,3060863,40.741
S1A_contig_057,PROKKA_contig000057,57,224,3060863,3061087,44.643
